PubId	Date	Text	HasFastAnswer	SuperFastAnswerClick	id_answer	ID	score	etalon	Оценка	Комментарий
9	2023-02-04	заявление о переходе на электронную трудовую книжку трудовой книжке по статье 66.1	1	0	510681	510681	0.959042638399385	заявление при переходе на электронную трудовую книжку	1	
6	2023-02-04	575 гк	0	0	9999	454626	0.958294462014359	гк	1	
9	2023-02-03	п. 2, 5 ч. 1 ст. 6 закона от 27.07.2006 № 152-фз, абз. 1, 2 разъяснений роскомнадзора от 14.12.2012	0	0	9999	477489	0.957912692229585	ч. 1, 2 ст. 22 закона от 27.07.2006 № 152-фз	0	
8	2023-02-03	пп.2 п. 1 ст. 220	0	0	9999	496887	0.957727776142546	пп. 2 ст. 1 263-фз	0	
9	2023-02-03	2-ндфл для сотрудника за 2021 год выдаем в 2023	0	0	9999	445698	0.957421662922691	2-ндфл для сотрудника за 2022 год	0	
6	2023-02-04	п 20.2 пбу	0	0	9999	433357	0.957317229993834	п. 3 пбу 7/98	0	
9	2023-02-04	173-фз от 10.12.2003 п. 1 ч. 1 ст. 19	0	0	9999	434435	0.957163946251322	ч. 2 ст. 14 закона от 10.12.2003 № 173-фз	0	
9	2023-02-03	п. 4 ст. 226 нк	0	0	9999	421063	0.956755669429777	ст 54 нк	0	
6	2023-02-05	пп 1 п 2. ст. 149 нк	0	0	9999	507214	0.956562766994725	пп 6 п 1 ст 254 нк общепроизводственные расходы	0	
8	2023-02-03	2-ндфл 2023 с зарплаты декабря 2022	0	0	9999	416138	0.956035158651602	зарплата за декабрь 2022 в 6-ндфл 2022	0	
6	2023-02-05	ст. 30 п. 2п.6 ч 1	0	0	9999	496887	0.955898321646595	п. 5 ст. 4 263-фз	0	
220	2023-02-04	статья 324.1 налогового кодекса (	0	0	9999	421063	0.955590030902411	статья 54.1 налогового кодекса	0	
8	2023-02-03	подпункт 5 п 1 ст 346,46	0	0	9999	485001	0.955183605804575	подп. 4 п. 2 ст. 4, п. 1 ст. 6 закона от 27.11.2018 № 422-фз	0	
9	2023-02-03	нк 145.1	0	0	9999	427203	0.955002047755398	нк	1	
6	2023-02-05	фз400 ст. 32 п. 6 ч 1	0	0	9999	427833	0.954981578484156	п. 1 ст. 13.2 фз-№115	0	
6	2023-02-05	проверки за ккт с 2023 года	0	0	9999	508362	0.954475919070089	проверки ккт 2022	0	
9	2023-02-03	проводки 77 84 фсбу восстановление амортизации фсбу 6/2020	0	0	9999	418615	0.954414279540559	амортизация по фсбу 6/2020	0	
9	2023-02-05	рсв как заполнить за 1 кв 2023	0	0	9999	512011	0.954266915546083	как отобразить больничный в рсв 1кв 2022	0	
8	2023-02-03	ифнс заявление по форме кнд 1165180	0	0	9999	438045	0.954211947038905	заявление на уточнение платежа в ифнс форма кнд	1	
9	2023-02-03	куда платить взносы на травматизм с 01.01.2023 платежка	1	0	502645	502645	0.95388594232496	взносы на травматизм 2023 куда платить	1	другое
220	2023-02-04	реквизиты для оплаты обязательных страховых взносов ип за 2022 в 2023	0	0	9999	503720	0.953064754277925	размер страховых взносов для ип в 2022 реквизиты	1	другое
8	2023-02-03	постановление правительства рф от 08.02.2002 № 92	0	0	9999	435386	0.953064121868028	постановление правительства рф № 407 от 25.03.22	0	
220	2023-02-05	форма 5-з инструкция по заполнению	0	0	9999	423606	0.952844150091402	инструкция по заполнению ттн формы 1-т	0	
8	2023-02-03	код по окфс 12/13/14	0	0	9999	490285	0.95280232746929	коды окз	0	ошибка
6	2023-02-05	ст. 32 п. 6 ч 1	0	0	9999	485001	0.952284163417727	подп. 4 п. 2 ст. 4, п. 1 ст. 6 закона от 27.11.2018 № 422-фз	0	
6	2023-02-04	пп 7 п 7.1 пбу 1	0	0	9999	433357	0.952068726820842	п. 4 пбу 6	0	
9	2023-02-03	подп. 10 п. 2 ст. 149 нк	0	0	9999	434434	0.952003608850885	подп. 6 п. 1 ст. 181 нк рф	0	
8	2023-02-04	заявление по форме кнд 1165180	0	0	9999	461275	0.951690452368808	форма по кнд 1150058 образец заявления	0	
9	2023-02-03	приказ № 771	0	0	9999	463263	0.951464696545467	приказ 772	0	
8	2023-02-05	производственный календарь на 2019	0	0	9999	1174	0.950127540750292	календарь производственный 2020	0	
9	2023-02-03	списание основного средства по фсбу 6/2020на 31 декабря 2021 года	0	0	9999	418615	0.949833149657962	учет основных средств в 2021 году по фсбу 62020	0	
9	2023-02-05	как в справках 2-ндфл отразить декабрьскую зарплату выплаченную в январе 2023	0	0	9999	445698	0.949764636698813	как отразить в 2-ндфл декабрьскую зарплату	0	
9	2023-02-03	514 гк	0	0	9999	454626	0.949295087460011	гк	1	
6	2023-02-05	письмо фнс от 31.01.2023	0	0	9999	486351	0.948845383534257	информационное письмо фнс	0	
8	2023-02-05	код ошибки в рсв 2.07	0	0	9999	441216	0.94826938204099	пояснение в налоговую по рсв код ошибки 0400400008	0	
8	2023-02-03	бухбаланс расшифровка строки 4500	0	0	9999	485842	0.948169466236074	2300 строка баланса расшифровка	0	
9	2023-02-05	м-19 списание материалов	0	0	9999	500291	0.947752145784391	списание материалов	1	
6	2023-02-05	пункт 16 статьи 270 налогового кодекса	0	0	9999	421063	0.946895416253381	пункт 1 статьи 54 налогового кодекса	0	
8	2023-02-04	18210214010060001160	0	0	9999	508398	0.946882413611575	39211607090060000140	0	
9	2023-02-04	статья 346.21 пункт 3.1 нк рф	0	0	9999	421063	0.946622138579348	статья 54 нк рф	0	
9	2023-02-03	постановление правительства от 15.05.2020 № 683	0	0	9999	444199	0.945940991134994	постановление правительства 776 от 29.04.2021	0	
8	2023-02-03	форма т-61	0	0	9999	435525	0.945675484695536	форма пм-сп	0	
188	2023-02-04	письмо минтруд от 20.01.2023 № 14-6/оот-296	0	0	9999	463272	0.945501624968307	письмо минтруда от 15.03.22 № 15-2/10/в-3156	0	
9	2023-02-03	проводки 77 84 фсбу восстановление амортизации фсбу 6/2020 разница	0	0	9999	418615	0.944838157988573	фсбу 6/2020 амортизация	0	
8	2023-02-04	код 2013 2-ндфл	1	1	420287	420287	0.944604702380943	код 2-ндфл	0	
9	2023-02-03	как правильно заполнить подраздел 1.2 налоговой декларации по налогу на прибыль за 9 месяцев 2022 года	0	0	9999	483740	0.944491950777865	как заполнить декларацию по прибыли за 9 месяцев 2022	0	
9	2023-02-04	ст. 217 нк мобили за	0	0	9999	421063	0.943647045463008	ст 54.1 нк	0	
6	2023-02-05	согласие на обработку персональных данных в 2-23г	0	0	9999	505798	0.943562895776344	согласие на обработку персональных данных изменения 2022 г	0	
9	2023-02-05	2-ндфл указывать ли декабрьскую зарплату выплаченную в январе 2023	0	0	9999	416138	0.943481688148688	6-ндфл зарплата за декабрь выплачена в январе 2022	0	
8	2023-02-03	строка 020 и строка 160 формы 6-ндфл	0	0	9999	434321	0.943220409318812	форма 6-ндфл строка 170	0	
6	2023-02-05	закон 59-фз	0	0	9999	483353	0.943141852047007	закон 53-фз	0	
8	2023-02-03	письмо фнс от 31.01.2023 сд-4-3/1023@	0	0	9999	486351	0.943137028265023	информационное письмо фнс	0	ошибка
9	2023-02-04	трудовой кодекс статья 66.1	0	0	9999	431295	0.94281133124607	статья 59 трудового кодекса	0	
8	2023-02-03	мрот 200	0	0	9999	504542	0.942359567094169	мрот	1	
8	2023-02-03	как учитывается в 2-ндфл доход за декабрь 2022 если он выплачен в январе 2023	0	0	9999	416138	0.942269043309315	как заполнить 6-ндфл за 2022 год если зарплата за декабрь выплачена в январе 2022	0	
8	2023-02-04	штатное расписание на 0.5 ставки	1	0	509472	509472	0.941256297592254	ставка в штатном расписании	1	
6	2023-02-05	письмо фнс от 14.01.2021 № бс-4-11/148	0	0	9999	486351	0.940902239624546	информационное письмо фнс	0	ошибка
9	2023-02-03	подпункт 21.5 пункт 1 статьи 251 налогового кодекса	0	0	9999	421063	0.940190035586281	пункт 1 статьи 54 налогового кодекса	0	
9	2023-02-04	строка 1260 ндс	0	0	9999	497774	0.939651005832653	строка 080 декларации по ндс	0	
9	2023-02-03	письмо фнс от 19.01.2023 № бс-4-11/517@	0	0	9999	486351	0.939650244439909	информационное письмо фнс	0	ошибка
9	2023-02-05	219 нк	0	0	9999	427203	0.93961860110879	нк	1	
6	2023-02-04	фсбу 25/2018 счет 01 и 76	0	0	9999	506561	0.939514515830826	счет 09 и 77 и фсбу 25/2018	0	
8	2023-02-03	как заполнить заявление на зачет взносов по форме 1150057 для уменьшения патента	0	0	9999	487294	0.939288803217731	как заполнить заявление на патент форма 2651	0	
9	2023-02-04	информационное сообщение минфина россии № ис-учет-29 от 03.11.2020	0	0	9999	507180	0.939077420441892	информационное сообщение минфина россии от 19.01.2022 n ис-аудит-50	0	
8	2023-02-03	стандартные вычеты на детей в 2023 году, если первый ребенок старше 23 лет	0	0	9999	434357	0.938925982179754	стандартные вычеты на детей в 2022 году	0	
9	2023-02-03	дсв-3 в 2023	0	0	9999	497642	0.938295675403269	псв 2023	0	
6	2023-02-04	367 гк	0	0	9999	434434	0.938126623018212	181 гк	0	
9	2023-02-03	поставить на учет подразделение с-09-3-1	0	0	9999	411163	0.938066959693666	как поставить на учет обособленное подразделение	1	
9	2023-02-05	6-ндфл 1 квартал 2023 стандартные вычеты	0	0	9999	430325	0.938027195495651	6-ндфл за 1 квартал 20221	0	
6	2023-02-05	приказ от 15 апреля 2021 № 61н	0	0	9999	463263	0.937368960419436	приказ от 29 октября 2021 № 772н	0	
8	2023-02-03	норма списания бензина на уаз 31514	0	0	9999	480097	0.937287725187171	приказ нормы списания бензина	1	
9	2023-02-03	уточненка ндс за 2022 в 2023	0	0	9999	497766	0.93728420871987	уточненный ндс за 2022 год	0	
6	2023-02-05	форма 0510431	0	0	9999	497187	0.937033600454263	форма 1150129	0	
188	2023-02-05	как в бухгалтерском учете и в 6-ндфл отражается зарплата с 2023	0	0	9999	416138	0.937000908989079	как в 6-ндфл отражать зарплату за декабрь 2022	0	
8	2023-02-03	отчет о движении денежных потоков расшифровка строки 4500	0	0	9999	499847	0.936865956546939	отчет о движении денежных средств расшифровка строк	0	
9	2023-02-03	134/118 код вычета	1	0	9999	420278	0.9360538845242	коды на вычет ребенок-инвалид	0	ошибка
220	2023-02-04	строка 134 усн на упрощенцев ханты-мансийск	0	0	9999	496736	0.93595622488189	строка 124 усн	0	
6	2023-02-04	как списать основные средства не отвечающие критерию 100000 при переходе на фсбу 6	0	0	9999	501655	0.935440886366632	как списать с баланса основные средства для перехода на фсбу	0	
9	2023-02-03	больничный 2023 по уходу за ребенком инвалидом сколько дней	0	0	9999	463716	0.935328964653486	оплата больничного сколько дней в году по уходу за ребенком	0	ошибка
9	2023-02-03	расшифровка строки 5551	0	0	9999	485842	0.934996428136024	расшифровка строки строка баланса 1240	0	
9	2023-02-04	срок оплаты пенсионного фонда за 2022 год 1% ип	0	0	9999	503720	0.934290038651314	размер пенсионный взносов для ип в 2022 году	0	
8	2023-02-03	можно ли в 2023 году учесть взносы по ип уплаченные за 2022 с опозданием	0	0	9999	495741	0.933519303826546	фиксированные взносы на ип в 2023 году	0	
6	2023-02-05	письмо фнс от 01.04.2022 № еа-4-15/3971@	0	0	9999	478805	0.933199131305418	письмо от 10.03.2021 № бв-4-7/3060@- далее письмо фнс налоговые оговорки	0	
9	2023-02-03	как указать в декларации за 9 месяцев ежемесячные платежи по налогу на прибыль в 1 квартале и в 4 квартале	0	0	9999	507662	0.932231737123225	как рассчитать ежемесячные авансовые платежи по налогу на прибыль за 1 квартал	0	
220	2023-02-04	приказ № 107н	0	0	9999	434158	0.93176522335716	приказ № 103н	0	
9	2023-02-03	рсв за январь до 25.02.2023	0	0	9999	506886	0.931273504166408	рсв за 2022	0	
188	2023-02-05	ндс иностранное лицо налоговый агент 2023	0	0	9999	508482	0.931101097076074	ндс 2021 налоговый агент	0	
9	2023-02-04	инв-1 пример заполнения	0	0	9999	464733	0.930622649352033	инвойс пример заполнения	1	
9	2023-02-04	заявление о трудовой книжке по статье 66.1	0	0	9999	510681	0.930244415953105	заявление о трудовую книжку	1	
9	2023-02-03	больничный 2023 по уходу за ребенком инвалидом	0	0	9999	502544	0.93015963659522	больничный за уходом за инвалидом	1	
6	2023-02-04	распоряжение правительства российской федерации от 12 октября 2019 n 2406-р	0	0	9999	483510	0.929796699479444	правительство российской федерации постановление от 22 сентября 2022 г. n 1677	0	
8	2023-02-03	расчет стандартных вычетов на последующих детей в 2023 году, если первый ребенок старше 23 лет	0	0	9999	434357	0.929662078528519	стандартные вычеты на детей в 2022 году	0	
9	2023-02-03	ефс-1 за январь до 25.02.2023	0	0	9999	499910	0.929499002711089	ефс-1 с 01.01.2023	0	
9	2023-02-03	образец заполнения заявления по кнд 1150057	0	0	9999	461275	0.929400833738355	форма по кнд 1150058 образец заявления	0	
9	2023-02-03	проводки 77 84 фсбу восстановление амортизации фсбу 6/2020 разница налогового учета	0	0	9999	418615	0.929108954453993	амортизация по фсбу 6/2020	0	
9	2023-02-03	в налоговом учете поставщика затраты на доставку товара покупателю признают в составе расходов, связанных с производством и реализацией (пп. 1 п. 1 ст. 253, ст. 320 нк рф).	0	0	9999	507213	0.928722199835891	списание затрат на внутренний брак предусмотрено пп. 47 п. 1 ст. 264 нк	0	
188	2023-02-05	3-ндфл сумма дохода кадастровая стоимость 70%	0	0	9999	506978	0.92832811922359	3-ндфл кадастровая стоимость	0	
9	2023-02-03	рекомендации р-54/2014-кпр	0	0	9999	420564	0.928210824159989	рекомендация	0	ошибка
220	2023-02-05	письмо фнс россии от 11.01.2023 № зг-3-11/125@	0	0	9999	464193	0.928099811146999	коммерческая осмотрительность письме фнс россии от 10.03.2021 г. № бв-4-7/3060@).	0	
9	2023-02-03	постановление правительства от 29.04.2022 № 776 на 2023 год	1	1	444199	444199	0.928005118334101	776 постановление правительства от 29.04.2022	0	
8	2023-02-04	письмо фнс россии от 01.04.2022 № еа-4-15/3971@	0	0	9999	478805	0.928003891391255	письмо от 10.03.2021 № бв-4-7/3060@- далее письмо фнс налоговые оговорки	0	
